SurveyCode,Year,Survey,SurveyRep,Date,Station,TimeStart,TowDuration,Index,Region,RegionFlaSH,Depth,ECSurfacePreTow,ECBottomPreTow,TempSurf,Secchi,Chl-a,TotalMeter,Volume,Acanthomysis aspera ,Acanthomysis hwanhaiensis,Alienacanthomysis macropsis,Deltamysis holmquistae,Hyperacanthomysis longirostris,Neomysis kadiakensis,Neomysis mercedis,Unidentified mysid
19720101,1972,1,1,1/12/1972,NZ020,,10.0,0,SuiBay,Other,,14688,,6.6,63,,2180,41.20,0,0,0,0,0,0,1.747811785,0
19720101,1972,1,1,1/12/1972,NZ022,,10.0,0,SuiBay,Other,,12096,,6.6,55,,1940,36.67,0,0,0,0,0,0,0.885646783,0
19720101,1972,1,1,1/12/1972,NZ024,,10.0,0,SuiBay,Other,,9720,,6.4,48,,2100,39.69,0,0,0,0,0,0,2.154059693,0
19720101,1972,1,1,1/12/1972,NZ028,,10.0,1,SuiBay,Other,,5400,,6.2,42,,3490,65.96,0,0,0,0,0,0,0.00361196,0
19720101,1972,1,1,1/12/1972,NZ030,,10.0,0,SuiBay,Other,,5130,,6.1,33,,2330,44.04,0,0,0,0,0,0,0,0
19720101,1972,1,1,1/12/1972,NZ032,,10.0,1,SuiMar,Other,,2440,,5.8,20,,2360,44.60,0,0,0,0,0,0,7.232501925,0
19720101,1972,1,1,1/13/1972,NZ033,,10.0,0,SuiMar,Other,,2398,,5.7,28,,2080,39.31,0,0,0,0,0,0,2.324822364,0
19720101,1972,1,1,1/13/1972,NZ034,,10.0,0,SuiMar,Other,,400,,6.6,48,,2160,40.82,0,0,0,0,0,0,4.682180198,0
19720101,1972,1,1,1/12/1972,NZ036,,10.0,0,SuiBay,Other,,5832,,6.4,42,,2350,44.42,0,0,0,0,0,0,0.343476964,0
19720101,1972,1,1,1/12/1972,NZ038,,10.0,0,SuiBay,Other,,4968,,6.4,48,,1980,37.42,0,0,0,0,0,0,0.736059802,0
19720101,1972,1,1,1/12/1972,NZ040,,10.0,0,SuiBay,Other,,1976,,6.4,48,,2350,44.42,0,0,0,0,0,0,0.278840765,0
19720101,1972,1,1,1/13/1972,NZ042,,10.0,1,SuiBay,Other,,14580,,6.4,55,,2300,43.47,0,0,0,0,0,0,0.804075779,0
19720101,1972,1,1,1/13/1972,NZ044,,10.0,0,SuiBay,Other,,9369,,6.3,58,,2510,47.44,0,0,0,0,0,0,3.616732095,0
19720101,1972,1,1,1/13/1972,NZ046,,10.0,0,SuiBay,Other,,8478,,6.3,60,,2160,40.82,0,0,0,0,0,0,3.296642678,0
19720101,1972,1,1,1/13/1972,NZ048,,10.0,1,SuiBay,Other,,7884,,6.4,56,,2170,41.01,0,0,0,0,0,0,0.08805397,0
19720101,1972,1,1,1/13/1972,NZ050,,10.0,0,SuiBay,Other,,6966,,6.6,55,,1980,37.42,0,0,0,0,0,0,0.87109983,0
19720101,1972,1,1,1/13/1972,NZ052,,10.0,0,SuiBay,Other,,1426,,6.0,54,,2060,38.93,0,0,0,0,0,0,2.103723554,0
19720101,1972,1,1,1/13/1972,NZ054,,10.0,1,SuiBay,Other,,1447,,6.2,54,,1520,28.73,0,0,0,0,0,0,0.889833175,0
19720101,1972,1,1,1/13/1972,NZ056,,10.0,0,WestDel,Other,,1372,,6.2,56,,2180,41.20,0,0,0,0,0,0,0.446410272,0
19720101,1972,1,1,1/13/1972,NZ058,,10.0,0,WestDel,Other,,1253,,6.3,55,,2110,39.88,0,0,0,0,0,0,1.710095801,0
19720101,1972,1,1,1/11/1972,NZ060,,10.0,1,WestDel,Other,,284,,6.3,62,,1720,32.51,0,0,0,0,0,0,15.02215055,0
19720101,1972,1,1,1/11/1972,NZ062,,10.0,0,WestDel,Other,,178,,6.0,61,,2290,43.28,0,0,0,0,0,0,4.496700787,0
19720101,1972,1,1,1/11/1972,NZ064,,10.0,1,SacR,Other,,154,,5.9,60,,2540,48.01,0,0,0,0,0,0,1.066498558,0
19720101,1972,1,1,1/11/1972,NZ066,,10.0,0,SacR,Other,,154,,5.9,69,,2390,45.17,0,0,0,0,0,0,0.2370911,0
19720101,1972,1,1,1/11/1972,NZ068,,10.0,0,SacR,Other,,152,,5.9,74,,2110,39.88,0,0,0,0,0,0,0.024227523,0
19720101,1972,1,1,1/11/1972,NZ072,,10.0,0,SJR,Other,,249,,6.4,63,,1600,30.24,0,0,0,0,0,0,4.572847722,0
