"region","qyear","quarter","chla"
"dt","1975","Q1",4.00710526315789
"dt","1975","Q2",10.9316346153846
"dt","1975","Q3",18.518347826087
"dt","1975","Q4",8.60315789473684
"dt","1976","Q1",3.74548387096774
"dt","1976","Q2",29.4017777777778
"dt","1976","Q3",29.1835416666667
"dt","1976","Q4",9.18130081300813
"dt","1977","Q1",4.19233766233766
"dt","1977","Q2",28.5783766233766
"dt","1977","Q3",26.5846258503401
"dt","1977","Q4",19.58
"dt","1978","Q1",2.77944444444444
"dt","1978","Q2",5.84718446601942
"dt","1978","Q3",11.1482978723404
"dt","1978","Q4",8.26824561403509
"dt","1979","Q1",3.942
"dt","1979","Q2",9.16568
"dt","1979","Q3",14.1647872340426
"dt","1979","Q4",9.52122448979592
"dt","1980","Q1",2.48925
"dt","1980","Q2",6.726
"dt","1980","Q3",9.73708333333333
"dt","1980","Q4",10.1232142857143
"dt","1981","Q1",2.51
"dt","1981","Q2",15.5136134453782
"dt","1981","Q3",8.87489361702128
"dt","1981","Q4",7.39428571428571
"dt","1982","Q1",2.23208333333333
"dt","1982","Q2",3.917875
"dt","1982","Q3",15.6994488188976
"dt","1982","Q4",10.7519047619048
"dt","1983","Q1",2.10774193548387
"dt","1983","Q2",5.68258064516129
"dt","1983","Q3",5.40836065573771
"dt","1983","Q4",5.91875
"dt","1984","Q1",2.36288461538462
"dt","1984","Q2",7.56214285714286
"dt","1984","Q3",12.2035106382979
"dt","1984","Q4",12.4980821917808
"dt","1985","Q1",2.32833333333333
"dt","1985","Q2",14.2225688073394
"dt","1985","Q3",10.88175
"dt","1985","Q4",7.28885057471264
"dt","1986","Q1",1.79537037037037
"dt","1986","Q2",5.46351851851852
"dt","1986","Q3",16.4796610169492
"dt","1986","Q4",3.822875
"dt","1987","Q1",1.59764705882353
"dt","1987","Q2",8.8861038961039
"dt","1987","Q3",7.56904347826087
"dt","1987","Q4",7.50663265306122
"dt","1988","Q1",2.60181818181818
"dt","1988","Q2",8.98588235294118
"dt","1988","Q3",10.1443697478992
"dt","1988","Q4",6.45294736842105
"dt","1989","Q1",5.10581818181818
"dt","1989","Q2",7.01447058823529
"dt","1989","Q3",8.15375
"dt","1989","Q4",7.10091836734694
"dt","1990","Q1",3.22071428571429
"dt","1990","Q2",6.99545454545455
"dt","1990","Q3",10.6353913043478
"dt","1990","Q4",5.71392405063291
"dt","1991","Q1",4.97728813559322
"dt","1991","Q2",8.9018487394958
"dt","1991","Q3",19.2365714285714
"dt","1991","Q4",18.5379
"dt","1992","Q1",2.87568965517241
"dt","1992","Q2",11.9652136752137
"dt","1992","Q3",30.4896610169492
"dt","1992","Q4",7.3803
"dt","1993","Q1",2.34660714285714
"dt","1993","Q2",13.7989830508475
"dt","1993","Q3",10.52
"dt","1993","Q4",3.21901639344262
"dt","1994","Q1",1.48913793103448
"dt","1994","Q2",6.37983333333333
"dt","1994","Q3",12.8203333333333
"dt","1994","Q4",7.94101265822785
"dt","1995","Q1",1.09462962962963
"dt","1995","Q2",2.33169491525424
"dt","1995","Q3",3.89
"dt","1995","Q4",2.144
"dt","1996","Q1",1.54384615384615
"dt","1996","Q2",4.58571428571429
"dt","1996","Q3",7.06571428571429
"dt","1996","Q4",3.91125
"dt","1997","Q1",2.04571428571429
"dt","1997","Q2",6.58384615384615
"dt","1997","Q3",11.14625
"dt","1997","Q4",6.24769230769231
"dt","1998","Q1",3.13
"dt","1998","Q2",3.87666666666667
"dt","1998","Q3",4.44733333333333
"dt","1998","Q4",3.388
"dt","1999","Q1",2.626
"dt","1999","Q2",5.0475
"dt","1999","Q3",9.02142857142857
"dt","1999","Q4",2.409375
"dt","2000","Q1",2.27
"dt","2000","Q2",3.945
"dt","2000","Q3",9.16
"dt","2000","Q4",7.64
"dt","2001","Q1",2.956
"dt","2001","Q2",5.61769230769231
"dt","2001","Q3",19.156
"dt","2001","Q4",5.97666666666667
"dt","2002","Q1",3.17466666666667
"dt","2002","Q2",6.64466666666667
"dt","2002","Q3",19.6733333333333
"dt","2002","Q4",7.51933333333333
"dt","2003","Q1",1.90066666666667
"dt","2003","Q2",9.514
"dt","2003","Q3",10.6888235294118
"dt","2003","Q4",3.205
"dt","2004","Q1",2.28222222222222
"dt","2004","Q2",9.37809523809524
"dt","2004","Q3",12.4805882352941
"dt","2004","Q4",4.89266666666667
"dt","2005","Q1",1.32413793103448
"dt","2005","Q2",5.63444444444444
"dt","2005","Q3",6.10944444444444
"dt","2005","Q4",2.21181818181818
"dt","2006","Q1",2.84242424242424
"dt","2006","Q2",4.15545454545455
"dt","2006","Q3",4.84212121212121
"dt","2006","Q4",2.70393939393939
"dt","2007","Q1",5.95393939393939
"dt","2007","Q2",5.81606060606061
"dt","2007","Q3",8.8669696969697
"dt","2007","Q4",2.8725
"dt","2008","Q1",2.36484848484848
"dt","2008","Q2",8.40787878787879
"dt","2008","Q3",12.04
"dt","2008","Q4",4.64727272727273
"dt","2009","Q1",2.86606060606061
"dt","2009","Q2",5.4096875
"dt","2009","Q3",14.5845454545455
"dt","2009","Q4",2.60272727272727
"dt","2010","Q1",1.89484848484848
"dt","2010","Q2",4.1530303030303
"dt","2010","Q3",5.45333333333333
