"Year","Survey","FishCode","AvgOfLength"
2022,1,2,12.94
2022,2,2,18.68
2022,3,2,23.58
2022,4,2,27.46
2022,5,2,29.75
2022,6,2,30.93
2022,7,2,33.59
2022,8,2,31.00
2021,1,2,13.66
2021,2,2,17.65
2021,3,2,21.79
2021,4,2,24.79
2021,5,2,26.57
2021,6,2,28.80
2021,7,2,33.66
2021,8,2,29.00
2020,1,2,10.82
2020,3,2,15.00
2020,4,2,22.00
2020,5,2,25.51
2020,6,2,28.92
2020,7,2,28.56
2020,8,2,31.09
2020,9,2,28.71
2019,1,2,13.94
2019,2,2,15.27
2019,3,2,16.32
2019,4,2,17.79
2019,5,2,22.49
2019,6,2,26.14
2019,7,2,29.71
2019,8,2,30.16
2019,9,2,35.28
2018,1,2,8.19
2018,2,2,11.37
2018,3,2,14.35
2018,4,2,18.51
2018,5,2,21.85
2018,6,2,27.68
2018,7,2,27.42
2018,8,2,31.84
2018,9,2,28.00
2017,1,2,13.49
2017,2,2,17.36
2017,3,2,19.36
2017,4,2,20.68
2017,5,2,19.47
2017,6,2,23.75
2017,7,2,21.50
2017,9,2,36.33
2016,1,2,16.90
2016,2,2,19.75
2016,3,2,19.11
2016,4,2,21.72
2016,5,2,28.31
2016,6,2,28.34
2016,7,2,25.25
2016,8,2,32.00
2015,1,2,14.37
2015,2,2,15.60
2015,3,2,21.63
2015,4,2,23.11
2015,5,2,27.33
2015,6,2,35.07
2015,7,2,33.66
2014,1,2,16.21
2014,2,2,20.72
2014,3,2,22.18
2014,4,2,26.73
2014,5,2,29.59
2014,6,2,31.53
2014,7,2,33.60
2014,8,2,37.00
2013,1,2,11.94
2013,2,2,14.07
2013,3,2,17.67
2013,4,2,19.77
2013,5,2,23.73
2013,6,2,25.21
2013,7,2,28.78
2013,8,2,30.08
2013,9,2,26.70
2012,1,2,9.84
2012,2,2,15.29
2012,3,2,13.85
2012,4,2,15.32
2012,5,2,18.06
2012,6,2,21.73
2012,7,2,26.92
2012,8,2,31.17
2012,9,2,26.00
2011,1,2,11.91
2011,2,2,17.93
2011,3,2,13.77
2011,4,2,15.70
2011,5,2,20.13
2011,6,2,24.36
2011,7,2,28.11
2011,8,2,28.57
2011,9,2,31.16
2010,1,2,16.11
2010,2,2,16.11
2010,3,2,18.09
2010,4,2,19.72
2010,5,2,23.42
2010,6,2,26.28
2010,7,2,27.92
2010,8,2,49.00
2009,1,2,11.56
2009,2,2,11.94
2009,3,2,14.28
2009,4,2,18.13
2009,5,2,22.00
2009,6,2,23.71
2009,7,2,27.34
2009,8,2,30.55
2008,1,2,16.18
2008,2,2,16.38
2008,3,2,18.21
2008,4,2,20.21
2008,5,2,22.30
2008,6,2,25.50
2008,7,2,28.66
2008,8,2,32.42
2008,9,2,33.25
2008,11,2,13.11
2007,1,2,11.39
2007,2,2,14.94
2007,3,2,18.29
2007,4,2,20.72
2007,5,2,23.70
2007,6,2,27.75
2007,7,2,31.96
2007,8,2,34.00
2007,9,2,28.00
2006,1,2,17.33
2006,2,2,14.78
2006,3,2,18.60
2006,4,2,19.36
2006,5,2,23.03
2006,6,2,24.66
2006,7,2,31.94
2006,8,2,35.41
2006,9,2,37.62
2005,1,2,12.65
2005,2,2,16.68
2005,3,2,17.43
2005,4,2,18.49
2005,5,2,23.12
2005,6,2,26.00
2005,7,2,28.43
2005,8,2,32.50
2005,9,2,35.85
2004,1,2,15.38
2004,2,2,17.64
2004,3,2,20.40
2004,4,2,24.85
2004,5,2,28.89
2004,6,2,30.66
2004,7,2,33.97
2004,8,2,33.86
2003,1,2,16.34
2003,2,2,17.61
2003,3,2,20.62
2003,4,2,24.43
2003,5,2,24.87
2003,6,2,29.77
2003,7,2,33.18
2003,8,2,32.85
2002,1,2,14.82
2002,2,2,16.36
2002,3,2,19.88
2002,4,2,24.45
2002,5,2,25.92
2002,6,2,26.48
2002,7,2,27.71
2002,8,2,30.34
2001,1,2,12.02
2001,2,2,15.03
2001,3,2,17.46
2001,4,2,21.75
2001,5,2,24.93
2001,6,2,28.36
2001,7,2,34.23
2001,8,2,31.19
2000,1,2,12.84
2000,2,2,15.83
2000,3,2,18.82
2000,4,2,22.25
2000,5,2,24.15
2000,6,2,30.16
2000,7,2,29.37
2000,8,2,34.17
2000,9,2,34.50
2000,10,2,21.93
2000,11,2,24.05
2000,12,2,27.72
1999,1,2,18.28
1999,2,2,22.16
1999,3,2,24.67
1999,4,2,26.91
1999,5,2,32.96
1999,6,2,33.43
1999,7,2,37.39
1999,8,2,36.76
1998,1,2,19.59
1998,2,2,20.76
1998,3,2,23.82
1998,4,2,27.80
1998,5,2,27.60
1998,6,2,28.72
1998,7,2,32.14
1998,8,2,38.07
1998,9,2,35.23
1997,1,2,16.76
1997,2,2,19.61
1997,3,2,22.41
1997,4,2,25.11
1997,5,2,27.09
1997,6,2,30.14
1997,7,2,31.65
1997,8,2,33.42
1997,9,2,37.75
1996,1,2,13.97
1996,2,2,16.53
1996,3,2,21.40
1996,4,2,25.04
1996,5,2,26.31
1996,6,2,29.22
1996,7,2,29.48
1996,8,2,30.16
1995,1,2,22.45
1995,2,2,25.14
1995,3,2,29.84
1995,4,2,33.80
1995,5,2,35.48
1995,6,2,34.26
1995,7,2,37.61
1995,8,2,40.02
