"SampleDate","Station","TowNum","CountOfLength","Common Name","Catch","FishCode"
4/27/1995 0:00:00,405,1,3,"Longfin Smelt",3,2
4/27/1995 0:00:00,405,2,12,"Longfin Smelt",13,2
4/27/1995 0:00:00,405,3,2,"Longfin Smelt",3,2
4/27/1995 0:00:00,418,1,13,"Longfin Smelt",13,2
4/27/1995 0:00:00,418,2,22,"Longfin Smelt",22,2
4/27/1995 0:00:00,418,3,30,"Longfin Smelt",30,2
4/27/1995 0:00:00,602,2,6,"Longfin Smelt",6,2
4/27/1995 0:00:00,602,3,2,"Longfin Smelt",2,2
4/27/1995 0:00:00,606,2,1,"Longfin Smelt",1,2
4/28/1995 0:00:00,323,1,116,"Longfin Smelt",116,2
4/28/1995 0:00:00,323,2,70,"Longfin Smelt",70,2
4/28/1995 0:00:00,323,3,56,"Longfin Smelt",56,2
4/28/1995 0:00:00,340,1,64,"Longfin Smelt",64,2
4/28/1995 0:00:00,340,2,98,"Longfin Smelt",98,2
4/28/1995 0:00:00,340,3,263,"Longfin Smelt",263,2
4/28/1995 0:00:00,411,1,41,"Longfin Smelt",41,2
4/28/1995 0:00:00,411,2,24,"Longfin Smelt",24,2
4/28/1995 0:00:00,411,3,21,"Longfin Smelt",21,2
4/28/1995 0:00:00,501,2,1,"Longfin Smelt",1,2
5/11/1995 0:00:00,405,1,2,"Longfin Smelt",2,2
5/11/1995 0:00:00,405,2,1,"Longfin Smelt",1,2
5/11/1995 0:00:00,405,3,1,"Longfin Smelt",1,2
5/12/1995 0:00:00,323,1,6,"Longfin Smelt",6,2
5/12/1995 0:00:00,323,2,5,"Longfin Smelt",5,2
5/12/1995 0:00:00,323,3,10,"Longfin Smelt",10,2
5/12/1995 0:00:00,340,1,534,"Longfin Smelt",534,2
5/12/1995 0:00:00,340,2,550,"Longfin Smelt",550,2
5/12/1995 0:00:00,340,3,93,"Longfin Smelt",93,2
5/25/1995 0:00:00,405,1,4,"Longfin Smelt",4,2
5/25/1995 0:00:00,405,2,8,"Longfin Smelt",8,2
5/25/1995 0:00:00,405,3,62,"Longfin Smelt",62,2
5/25/1995 0:00:00,418,1,8,"Longfin Smelt",8,2
5/25/1995 0:00:00,418,2,4,"Longfin Smelt",4,2
5/25/1995 0:00:00,418,3,5,"Longfin Smelt",5,2
5/25/1995 0:00:00,602,1,1,"Longfin Smelt",1,2
5/25/1995 0:00:00,602,2,1,"Longfin Smelt",1,2
5/26/1995 0:00:00,323,1,79,"Longfin Smelt",79,2
5/26/1995 0:00:00,323,2,56,"Longfin Smelt",56,2
5/26/1995 0:00:00,323,3,32,"Longfin Smelt",32,2
5/26/1995 0:00:00,330,1,207,"Longfin Smelt",207,2
5/26/1995 0:00:00,340,1,109,"Longfin Smelt",109,2
5/26/1995 0:00:00,340,2,51,"Longfin Smelt",51,2
5/26/1995 0:00:00,340,3,42,"Longfin Smelt",42,2
6/8/1995 0:00:00,405,1,43,"Longfin Smelt",43,2
6/8/1995 0:00:00,405,2,40,"Longfin Smelt",40,2
6/8/1995 0:00:00,405,3,34,"Longfin Smelt",34,2
6/8/1995 0:00:00,418,1,34,"Longfin Smelt",34,2
6/8/1995 0:00:00,418,2,11,"Longfin Smelt",11,2
6/9/1995 0:00:00,323,1,24,"Longfin Smelt",24,2
6/9/1995 0:00:00,323,2,30,"Longfin Smelt",30,2
6/9/1995 0:00:00,323,3,26,"Longfin Smelt",26,2
6/9/1995 0:00:00,340,2,6,"Longfin Smelt",6,2
6/9/1995 0:00:00,340,3,4,"Longfin Smelt",4,2
6/23/1995 0:00:00,405,1,300,"Longfin Smelt",373,2
6/23/1995 0:00:00,405,2,12,"Longfin Smelt",12,2
6/23/1995 0:00:00,405,3,15,"Longfin Smelt",15,2
6/23/1995 0:00:00,418,1,22,"Longfin Smelt",22,2
6/23/1995 0:00:00,418,2,8,"Longfin Smelt",8,2
6/24/1995 0:00:00,323,2,15,"Longfin Smelt",15,2
6/24/1995 0:00:00,323,3,11,"Longfin Smelt",11,2
6/24/1995 0:00:00,340,2,1,"Longfin Smelt",1,2
6/24/1995 0:00:00,411,1,15,"Longfin Smelt",15,2
6/24/1995 0:00:00,411,2,18,"Longfin Smelt",18,2
6/24/1995 0:00:00,411,3,40,"Longfin Smelt",40,2
6/24/1995 0:00:00,504,1,1,"Longfin Smelt",1,2
7/5/1995 0:00:00,501,1,11,"Longfin Smelt",11,2
7/5/1995 0:00:00,501,2,12,"Longfin Smelt",12,2
7/5/1995 0:00:00,501,3,6,"Longfin Smelt",6,2
7/6/1995 0:00:00,405,1,116,"Longfin Smelt",116,2
7/6/1995 0:00:00,405,2,80,"Longfin Smelt",80,2
7/6/1995 0:00:00,405,3,50,"Longfin Smelt",50,2
7/6/1995 0:00:00,418,1,29,"Longfin Smelt",29,2
7/6/1995 0:00:00,418,2,48,"Longfin Smelt",49,2
7/6/1995 0:00:00,418,3,95,"Longfin Smelt",95,2
7/6/1995 0:00:00,602,1,2,"Longfin Smelt",2,2
7/7/1995 0:00:00,336,1,10,"Longfin Smelt",10,2
7/7/1995 0:00:00,336,2,10,"Longfin Smelt",10,2
7/7/1995 0:00:00,340,1,2,"Longfin Smelt",2,2
7/7/1995 0:00:00,340,2,1,"Longfin Smelt",1,2
7/7/1995 0:00:00,340,3,4,"Longfin Smelt",4,2
7/7/1995 0:00:00,411,1,3,"Longfin Smelt",3,2
7/7/1995 0:00:00,411,2,2,"Longfin Smelt",2,2
7/7/1995 0:00:00,411,3,5,"Longfin Smelt",5,2
7/19/1995 0:00:00,501,3,1,"Longfin Smelt",1,2
7/20/1995 0:00:00,405,1,2,"Longfin Smelt",2,2
7/20/1995 0:00:00,405,2,2,"Longfin Smelt",2,2
7/20/1995 0:00:00,405,3,3,"Longfin Smelt",3,2
7/20/1995 0:00:00,418,1,7,"Longfin Smelt",7,2
7/20/1995 0:00:00,418,2,8,"Longfin Smelt",8,2
7/20/1995 0:00:00,418,3,6,"Longfin Smelt",6,2
7/21/1995 0:00:00,323,1,3,"Longfin Smelt",3,2
7/21/1995 0:00:00,328,1,7,"Longfin Smelt",7,2
7/21/1995 0:00:00,328,2,10,"Longfin Smelt",10,2
7/21/1995 0:00:00,336,1,3,"Longfin Smelt",3,2
7/21/1995 0:00:00,336,2,1,"Longfin Smelt",1,2
7/21/1995 0:00:00,340,1,4,"Longfin Smelt",4,2
7/21/1995 0:00:00,340,3,2,"Longfin Smelt",2,2
7/21/1995 0:00:00,411,1,1,"Longfin Smelt",1,2
8/3/1995 0:00:00,405,2,2,"Longfin Smelt",2,2
8/3/1995 0:00:00,405,3,8,"Longfin Smelt",8,2
8/3/1995 0:00:00,418,1,7,"Longfin Smelt",7,2
8/3/1995 0:00:00,418,2,16,"Longfin Smelt",16,2
8/3/1995 0:00:00,418,3,12,"Longfin Smelt",12,2
8/4/1995 0:00:00,328,1,5,"Longfin Smelt",5,2
8/4/1995 0:00:00,328,2,1,"Longfin Smelt",1,2
8/4/1995 0:00:00,329,2,1,"Longfin Smelt",1,2
8/4/1995 0:00:00,334,1,3,"Longfin Smelt",3,2
8/4/1995 0:00:00,334,2,6,"Longfin Smelt",6,2
8/4/1995 0:00:00,335,1,10,"Longfin Smelt",10,2
8/4/1995 0:00:00,335,2,5,"Longfin Smelt",5,2
8/4/1995 0:00:00,336,1,2,"Longfin Smelt",2,2
8/7/1995 0:00:00,501,2,1,"Longfin Smelt",1,2
4/12/1996 0:00:00,508,1,31,"Longfin Smelt",31,2
4/12/1996 0:00:00,508,2,31,"Longfin Smelt",31,2
4/12/1996 0:00:00,508,3,43,"Longfin Smelt",43,2
4/12/1996 0:00:00,513,1,1,"Longfin Smelt",1,2
4/12/1996 0:00:00,513,2,5,"Longfin Smelt",5,2
4/12/1996 0:00:00,513,3,8,"Longfin Smelt",8,2
4/12/1996 0:00:00,519,1,10,"Longfin Smelt",10,2
4/12/1996 0:00:00,519,2,2,"Longfin Smelt",2,2
4/12/1996 0:00:00,519,3,8,"Longfin Smelt",8,2
4/12/1996 0:00:00,520,1,8,"Longfin Smelt",8,2
4/12/1996 0:00:00,520,2,6,"Longfin Smelt",6,2
4/12/1996 0:00:00,520,3,6,"Longfin Smelt",6,2
4/13/1996 0:00:00,418,1,29,"Longfin Smelt",31,2
4/13/1996 0:00:00,418,2,24,"Longfin Smelt",24,2
4/13/1996 0:00:00,418,3,50,"Longfin Smelt",52,2
4/13/1996 0:00:00,602,1,31,"Longfin Smelt",31,2
4/13/1996 0:00:00,602,2,63,"Longfin Smelt",63,2
4/13/1996 0:00:00,602,3,229,"Longfin Smelt",229,2
4/13/1996 0:00:00,606,1,27,"Longfin Smelt",27,2
4/13/1996 0:00:00,606,2,8,"Longfin Smelt",8,2
4/13/1996 0:00:00,606,3,18,"Longfin Smelt",18,2
4/13/1996 0:00:00,609,1,1,"Longfin Smelt",1,2
4/13/1996 0:00:00,609,3,1,"Longfin Smelt",1,2
4/13/1996 0:00:00,610,3,1,"Longfin Smelt",1,2
4/14/1996 0:00:00,323,1,181,"Longfin Smelt",182,2
4/14/1996 0:00:00,323,2,200,"Longfin Smelt",200,2
4/14/1996 0:00:00,323,3,536,"Longfin Smelt",536,2
4/16/1996 0:00:00,340,1,286,"Longfin Smelt",286,2
4/16/1996 0:00:00,340,2,377,"Longfin Smelt",377,2
4/16/1996 0:00:00,340,3,489,"Longfin Smelt",490,2
4/16/1996 0:00:00,405,1,116,"Longfin Smelt",116,2
4/16/1996 0:00:00,405,2,89,"Longfin Smelt",89,2
4/16/1996 0:00:00,405,3,111,"Longfin Smelt",111,2
4/16/1996 0:00:00,411,1,421,"Longfin Smelt",421,2
4/16/1996 0:00:00,411,2,533,"Longfin Smelt",533,2
4/16/1996 0:00:00,411,3,701,"Longfin Smelt",701,2
4/16/1996 0:00:00,501,1,241,"Longfin Smelt",241,2
4/16/1996 0:00:00,501,2,342,"Longfin Smelt",342,2
4/16/1996 0:00:00,501,3,434,"Longfin Smelt",434,2
