"Year","fallrun","flag","Annual","sprinrun"
2019,150772,"*",8128,16180
2018,116215,"*",2639,2805
2017,43627,"*",977,1059
2016,85123,"*",1547,6453
2015,99128,"*",3440,1195
2014,194970,"*",3015,7125
2013,335023,"*",6084,19516
2012,197493,"*",2671,18688
2011,123553,"*",827,5805
2010,111463,"*",1596,2962
2009,30426,"*",4537,3457
2008,52191,"",2830,11927
2007,73527,"",2541,9228
2006,208071,"",17296,10725
2005,244282,"",15839,21319
2004,258573,"",7869,12938
2003,464229,"",8218,22035
2002,766668,"",7441,20854
2001,555922,"",8224,22528
2000,427320,"",1352,5587
1999,359815,"",3288,6369
1998,167108,"",2992,24903
1997,323909,"",880,1540
1996,309591,"",1337,2702
1995,280919,"",1297,9824
1994,175045,"",186,2546
1993,132616,"",387,1404
1992,79164,"",1240,1547
1991,103844,"",211,1623
1990,62128,"",430,5790
1989,152882,"",696,7085
1988,239131,"",2878,12100
1987,267373,"",2185,12675
1986,268453,"",2596,24263
1985,318894,"",5407,13589
1984,216474,"",2763,8037
1983,172305,"",1831,6256
1982,188629,"",1281,25980
1981,217804,"",22797,21636
1980,140740,"",1156,12195
1979,201286,"",2364,2866
1978,139521,"",25012,7924
1977,162437,"",17214,12545
1976,180350,"",35596,25141
1975,177188,"",23930,22887
1974,217506,"",21897,9053
1973,244805,"",24079,11225
1972,138982,"",37133,8588
1971,221544,"",53089,8800
1970,219349,"",40409,7437
1969,309706,"",NA,21030
1968,194657,"",NA,455
1967,170125,"",NA,330
1966,184507,"",NA,427
1965,177019,"",NA,1788
1964,284367,"",NA,8021
1963,285887,"",NA,10817
1962,234126,"",NA,3642
1961,231157,"",NA,4327
1960,437245,"",NA,11068
1959,454823,"",NA,NA
1958,263252,"",NA,NA
1957,114260,"",NA,NA
1956,157779,"",NA,NA
1955,382300,"",NA,NA
1954,479000,"",NA,NA
1953,585000,"",NA,NA
1952,349000,"",NA,NA
