"Station","Date","AnalyteName","Result"
"C10","1/21/1975","chla",6.48
"C10","1/21/1975","temp",10
"C10","1/21/1975","secchi",74
"C10","1/21/1975","Microcystis",NA
"C10","2/3/1975","chla",16.98
"C10","2/3/1975","temp",11
"C10","2/3/1975","secchi",43
"C10","2/3/1975","Microcystis",NA
"C10","3/18/1975","chla",9.26
"C10","3/18/1975","temp",13
"C10","3/18/1975","secchi",38
"C10","3/18/1975","Microcystis",NA
"C10","4/1/1975","chla",14.51
"C10","4/1/1975","temp",13
"C10","4/1/1975","secchi",33
"C10","4/1/1975","Microcystis",NA
"C10","4/18/1975","chla",21.61
"C10","4/18/1975","temp",15
"C10","4/18/1975","secchi",36
"C10","4/18/1975","Microcystis",NA
"C10","5/1/1975","chla",36.28
"C10","5/1/1975","temp",19
"C10","5/1/1975","secchi",30
"C10","5/1/1975","Microcystis",NA
"C10","5/15/1975","chla",41.68
"C10","5/15/1975","temp",18
"C10","5/15/1975","secchi",36
"C10","5/15/1975","Microcystis",NA
"C10","6/3/1975","chla",23.93
"C10","6/3/1975","temp",19
"C10","6/3/1975","secchi",28
"C10","6/3/1975","Microcystis",NA
"C10","6/17/1975","chla",11.27
"C10","6/17/1975","temp",19
"C10","6/17/1975","secchi",36
"C10","6/17/1975","Microcystis",NA
"C10","7/1/1975","chla",74.87
"C10","7/1/1975","temp",21
"C10","7/1/1975","secchi",25
"C10","7/1/1975","Microcystis",NA
"C10","7/15/1975","chla",95.71
"C10","7/15/1975","temp",22
"C10","7/15/1975","secchi",23
"C10","7/15/1975","Microcystis",NA
"C10","8/12/1975","chla",77.19
"C10","8/12/1975","temp",26
"C10","8/12/1975","secchi",NA
"C10","8/12/1975","Microcystis",NA
"C10","8/26/1975","chla",54.8
"C10","8/26/1975","temp",25
"C10","8/26/1975","secchi",20
"C10","8/26/1975","Microcystis",NA
"C10","9/11/1975","chla",23.93
"C10","9/11/1975","temp",22
"C10","9/11/1975","secchi",38
"C10","9/11/1975","Microcystis",NA
"C10","9/25/1975","chla",24.7
"C10","9/25/1975","temp",23
"C10","9/25/1975","secchi",38
"C10","9/25/1975","Microcystis",NA
"C10","10/10/1975","chla",9.11
"C10","10/10/1975","temp",16
"C10","10/10/1975","secchi",51
"C10","10/10/1975","Microcystis",NA
"C10","10/23/1975","chla",9.57
"C10","10/23/1975","temp",14
"C10","10/23/1975","secchi",74
"C10","10/23/1975","Microcystis",NA
"C10","11/25/1975","chla",5.13
"C10","11/25/1975","temp",11
"C10","11/25/1975","secchi",66
"C10","11/25/1975","Microcystis",NA
"C10","12/22/1975","chla",2.59
"C10","12/22/1975","temp",11
"C10","12/22/1975","secchi",76
"C10","12/22/1975","Microcystis",NA
"C10","1/20/1976","chla",4.14
"C10","1/20/1976","temp",11
"C10","1/20/1976","secchi",38
"C10","1/20/1976","Microcystis",NA
"C10","2/17/1976","chla",7.1
"C10","2/17/1976","temp",12
"C10","2/17/1976","secchi",56
"C10","2/17/1976","Microcystis",NA
"C10","3/9/1976","chla",12.66
"C10","3/9/1976","temp",15
"C10","3/9/1976","secchi",48
"C10","3/9/1976","Microcystis",NA
"C10","3/22/1976","chla",14.67
"C10","3/22/1976","temp",16
"C10","3/22/1976","secchi",36
"C10","3/22/1976","Microcystis",NA
"C10","4/5/1976","chla",23.93
"C10","4/5/1976","temp",15
"C10","4/5/1976","secchi",36
"C10","4/5/1976","Microcystis",NA
"C10","4/19/1976","chla",56.35
"C10","4/19/1976","temp",19
"C10","4/19/1976","secchi",36
"C10","4/19/1976","Microcystis",NA
"C10","5/6/1976","chla",81.82
"C10","5/6/1976","temp",20
"C10","5/6/1976","secchi",20
"C10","5/6/1976","Microcystis",NA
"C10","5/20/1976","chla",142.03
"C10","5/20/1976","temp",22
"C10","5/20/1976","secchi",25
"C10","5/20/1976","Microcystis",NA
"C10","6/3/1976","chla",142.03
"C10","6/3/1976","temp",20
"C10","6/3/1976","secchi",20
"C10","6/3/1976","Microcystis",NA
"C10","6/17/1976","chla",101.89
"C10","6/17/1976","temp",26
"C10","6/17/1976","secchi",28
"C10","6/17/1976","Microcystis",NA
"C10","7/6/1976","chla",253.18
"C10","7/6/1976","temp",26
"C10","7/6/1976","secchi",15
"C10","7/6/1976","Microcystis",NA
"C10","7/19/1976","chla",209.95
"C10","7/19/1976","temp",26
"C10","7/19/1976","secchi",23
"C10","7/19/1976","Microcystis",NA
"C10","8/3/1976","chla",142.03
"C10","8/3/1976","temp",24
"C10","8/3/1976","secchi",13
"C10","8/3/1976","Microcystis",NA
"C10","8/26/1976","chla",34.73
"C10","8/26/1976","temp",24
"C10","8/26/1976","secchi",41
"C10","8/26/1976","Microcystis",NA
"C10","9/14/1976","chla",34.73
"C10","9/14/1976","temp",23
"C10","9/14/1976","secchi",25
"C10","9/14/1976","Microcystis",NA
"C10","9/27/1976","chla",14.67
"C10","9/27/1976","temp",22
"C10","9/27/1976","secchi",51
"C10","9/27/1976","Microcystis",NA
"C10","10/12/1976","chla",6.95
"C10","10/12/1976","temp",21
"C10","10/12/1976","secchi",41
"C10","10/12/1976","Microcystis",NA
"C10","10/28/1976","chla",15.44
"C10","10/28/1976","temp",17
"C10","10/28/1976","secchi",51
"C10","10/28/1976","Microcystis",NA
"C10","11/9/1976","chla",20.84
"C10","11/9/1976","temp",16
"C10","11/9/1976","secchi",46
"C10","11/9/1976","Microcystis",NA
"C10","12/14/1976","chla",2.35
"C10","12/14/1976","temp",10
"C10","12/14/1976","secchi",76
"C10","12/14/1976","Microcystis",NA
"C10","1/25/1977","chla",17.6
"C10","1/25/1977","temp",8
"C10","1/25/1977","secchi",53
"C10","1/25/1977","Microcystis",NA
"C10","2/23/1977","chla",12.04
"C10","2/23/1977","temp",14
"C10","2/23/1977","secchi",61
"C10","2/23/1977","Microcystis",NA
"C10","3/9/1977","chla",11.89
"C10","3/9/1977","temp",14
"C10","3/9/1977","secchi",60
"C10","3/9/1977","Microcystis",NA
"C10","3/28/1977","chla",20.07
"C10","3/28/1977","temp",14
"C10","3/28/1977","secchi",40
"C10","3/28/1977","Microcystis",NA
"C10","4/12/1977","chla",82.59
"C10","4/12/1977","temp",22
"C10","4/12/1977","secchi",36
"C10","4/12/1977","Microcystis",NA
"C10","4/25/1977","chla",61.75
"C10","4/25/1977","temp",22
"C10","4/25/1977","secchi",38
"C10","4/25/1977","Microcystis",NA
"C10","5/10/1977","chla",132.76
"C10","5/10/1977","temp",18
"C10","5/10/1977","secchi",28
"C10","5/10/1977","Microcystis",NA
"C10","5/24/1977","chla",172.9
"C10","5/24/1977","temp",20
"C10","5/24/1977","secchi",38
"C10","5/24/1977","Microcystis",NA
"C10","6/6/1977","chla",213.04
"C10","6/6/1977","temp",26
"C10","6/6/1977","secchi",32
"C10","6/6/1977","Microcystis",NA
"C10","6/22/1977","chla",142.03
"C10","6/22/1977","temp",28
"C10","6/22/1977","secchi",40
"C10","6/22/1977","Microcystis",NA
"C10","7/6/1977","chla",111.15
"C10","7/6/1977","temp",26
"C10","7/6/1977","secchi",28
"C10","7/6/1977","Microcystis",NA
"C10","7/21/1977","chla",314.93
"C10","7/21/1977","temp",25
"C10","7/21/1977","secchi",20
"C10","7/21/1977","Microcystis",NA
"C10","8/8/1977","chla",302.58
"C10","8/8/1977","temp",27
"C10","8/8/1977","secchi",16
"C10","8/8/1977","Microcystis",NA
"C10","8/22/1977","chla",370.5
"C10","8/22/1977","temp",28
"C10","8/22/1977","secchi",32
"C10","8/22/1977","Microcystis",NA
"C10","9/1/1977","chla",209.95
"C10","9/1/1977","temp",24
"C10","9/1/1977","secchi",15
"C10","9/1/1977","Microcystis",NA
"C10","9/20/1977","chla",111.15
"C10","9/20/1977","temp",23
"C10","9/20/1977","secchi",30
"C10","9/20/1977","Microcystis",NA
"C10","10/5/1977","chla",237.74
"C10","10/5/1977","temp",22
"C10","10/5/1977","secchi",25
"C10","10/5/1977","Microcystis",NA
"C10","10/17/1977","chla",200.69
"C10","10/17/1977","temp",21
"C10","10/17/1977","secchi",36
"C10","10/17/1977","Microcystis",NA
"C10","11/15/1977","chla",8.65
