"Year","Threadfin Shad","American Shad","Delta Smelt","Longfin Smelt","Striped Bass Age0"
1967,12735,3422,408,81737,19677
1968,5433,758,696,3279,3719
1969,8398,3688,313,59350,8072
1970,4063,856,1673,6515,8276
1971,6906,1459,1303,15903,9475
1972,5113,335,1265,760,6116
1973,1232,1085,1145,5896,4286
1974,NA,NA,NA,NA,NA
1975,718,2491,697,2819,4548
1976,2957,346,359,658,1420
1977,9016,636,480,210,883
1978,2099,2364,572,6619,2598
1979,NA,NA,NA,NA,NA
1980,7279,3916,1654,31184,1493
1981,6674,1434,374,2202,4531
1982,2101,5389,333,62905,4466
1983,2088,2931,132,11864,12473
1984,757,817,182,7408,6581
1985,821,1598,110,992,1760
1986,2829,1860,212,6160,3943
1987,3475,899,280,1520,1350
1988,2409,1550,174,791,477
1989,6897,1878,366,456,442
1990,5859,4316,364,243,1320
1991,3316,2987,689,134,944
1992,2958,2014,156,76,2042
1993,6678,5157,1078,798,1556
1994,2305,1334,102,545,1259
1995,3337,6812,899,8205,478
1996,4758,4286,127,1346,392
1997,15267,2594,303,690,568
1998,5748,4140,420,6654,1224
1999,7527,715,864,5243,541
2000,12977,764,756,3437,388
2001,14401,765,603,247,731
2002,1731,1920,139,707,73
2003,1964,9360,210,467,111
2004,1301,947,74,191,54
2005,2865,1744,26,129,121
2006,2225,2313,41,1949,363
2007,3177,553,28,13,82
2008,450,271,23,139,220
2009,43,624,17,65,70
2010,120,683,29,191,43
2011,228,894,343,477,272
2012,41,415,42,61,125
2013,277,309,18,164,69
2014,282,278,9,16,59
2015,806,79,7,4,52
2016,660,313,8,7,124
2017,291,3086,2,141,470
2018,198,1064,0,52,42
2019,343,1955,0,44,255
2020,635,1098,0,28,52
