"Date","runname","Dailypassage"
2004-06-28,"Winter.Chinook.Passage.Estimate",0
2004-06-29,"Winter.Chinook.Passage.Estimate",0
2004-06-30,"Winter.Chinook.Passage.Estimate",0
2004-07-01,"Winter.Chinook.Passage.Estimate",0
2004-07-02,"Winter.Chinook.Passage.Estimate",0
2004-07-03,"Winter.Chinook.Passage.Estimate",0
2004-07-04,"Winter.Chinook.Passage.Estimate",0
2004-07-05,"Winter.Chinook.Passage.Estimate",0
2004-07-06,"Winter.Chinook.Passage.Estimate",0
2004-07-07,"Winter.Chinook.Passage.Estimate",0
2004-07-08,"Winter.Chinook.Passage.Estimate",0
2004-07-09,"Winter.Chinook.Passage.Estimate",0
2004-07-10,"Winter.Chinook.Passage.Estimate",61
2004-07-11,"Winter.Chinook.Passage.Estimate",0
2004-07-12,"Winter.Chinook.Passage.Estimate",0
2004-07-13,"Winter.Chinook.Passage.Estimate",0
2004-07-17,"Winter.Chinook.Passage.Estimate",0
2004-07-18,"Winter.Chinook.Passage.Estimate",255
2004-07-19,"Winter.Chinook.Passage.Estimate",258
2004-07-20,"Winter.Chinook.Passage.Estimate",420
2004-07-21,"Winter.Chinook.Passage.Estimate",126
2004-07-22,"Winter.Chinook.Passage.Estimate",290
2004-07-23,"Winter.Chinook.Passage.Estimate",187
2004-07-25,"Winter.Chinook.Passage.Estimate",485
2004-07-26,"Winter.Chinook.Passage.Estimate",319
2004-07-27,"Winter.Chinook.Passage.Estimate",609
2004-07-28,"Winter.Chinook.Passage.Estimate",990
2004-07-29,"Winter.Chinook.Passage.Estimate",1197
2004-07-30,"Winter.Chinook.Passage.Estimate",1025
2004-07-31,"Winter.Chinook.Passage.Estimate",42133
2004-08-01,"Winter.Chinook.Passage.Estimate",701
2004-08-02,"Winter.Chinook.Passage.Estimate",431
2004-08-03,"Winter.Chinook.Passage.Estimate",331
2004-08-04,"Winter.Chinook.Passage.Estimate",915
2004-08-05,"Winter.Chinook.Passage.Estimate",1486
2004-08-06,"Winter.Chinook.Passage.Estimate",1942
2004-08-07,"Winter.Chinook.Passage.Estimate",3852
2004-08-08,"Winter.Chinook.Passage.Estimate",2383
2004-08-09,"Winter.Chinook.Passage.Estimate",2265
2004-08-10,"Winter.Chinook.Passage.Estimate",3230
2004-08-11,"Winter.Chinook.Passage.Estimate",3304
2004-08-12,"Winter.Chinook.Passage.Estimate",3893
2004-08-13,"Winter.Chinook.Passage.Estimate",5113
2004-08-14,"Winter.Chinook.Passage.Estimate",5365
2004-08-15,"Winter.Chinook.Passage.Estimate",3699
2004-08-16,"Winter.Chinook.Passage.Estimate",6951
2004-08-17,"Winter.Chinook.Passage.Estimate",6395
2004-08-18,"Winter.Chinook.Passage.Estimate",6025
2004-08-19,"Winter.Chinook.Passage.Estimate",6879
2004-08-20,"Winter.Chinook.Passage.Estimate",6162
2004-08-21,"Winter.Chinook.Passage.Estimate",7294
2004-08-22,"Winter.Chinook.Passage.Estimate",9450
2004-08-23,"Winter.Chinook.Passage.Estimate",7856
2004-08-24,"Winter.Chinook.Passage.Estimate",12673
2004-08-25,"Winter.Chinook.Passage.Estimate",14355
2004-08-26,"Winter.Chinook.Passage.Estimate",13301
2004-08-27,"Winter.Chinook.Passage.Estimate",18859
2004-08-28,"Winter.Chinook.Passage.Estimate",26031
2004-08-29,"Winter.Chinook.Passage.Estimate",19216
2004-08-30,"Winter.Chinook.Passage.Estimate",16688
2004-08-31,"Winter.Chinook.Passage.Estimate",19488
2004-09-01,"Winter.Chinook.Passage.Estimate",23007
2004-09-02,"Winter.Chinook.Passage.Estimate",28542
2004-09-03,"Winter.Chinook.Passage.Estimate",33652
2004-09-04,"Winter.Chinook.Passage.Estimate",38429
2004-09-05,"Winter.Chinook.Passage.Estimate",49037
2004-09-06,"Winter.Chinook.Passage.Estimate",54168
2004-09-07,"Winter.Chinook.Passage.Estimate",56328
2004-09-08,"Winter.Chinook.Passage.Estimate",78367
2004-09-15,"Winter.Chinook.Passage.Estimate",115076
2004-09-16,"Winter.Chinook.Passage.Estimate",107136
2004-09-17,"Winter.Chinook.Passage.Estimate",103752
2004-09-18,"Winter.Chinook.Passage.Estimate",91016
2004-09-19,"Winter.Chinook.Passage.Estimate",72133
2004-09-20,"Winter.Chinook.Passage.Estimate",89645
2004-09-21,"Winter.Chinook.Passage.Estimate",132159
2004-09-22,"Winter.Chinook.Passage.Estimate",118996
2004-09-23,"Winter.Chinook.Passage.Estimate",87844
2004-09-24,"Winter.Chinook.Passage.Estimate",72874
2004-09-25,"Winter.Chinook.Passage.Estimate",54819
2004-09-26,"Winter.Chinook.Passage.Estimate",45914
2004-09-27,"Winter.Chinook.Passage.Estimate",38143
2004-09-28,"Winter.Chinook.Passage.Estimate",38149
2004-09-29,"Winter.Chinook.Passage.Estimate",23294
2004-09-30,"Winter.Chinook.Passage.Estimate",18459
2004-10-01,"Winter.Chinook.Passage.Estimate",29155
2004-10-02,"Winter.Chinook.Passage.Estimate",28314
2004-10-03,"Winter.Chinook.Passage.Estimate",26703
2004-10-04,"Winter.Chinook.Passage.Estimate",19585
2004-10-05,"Winter.Chinook.Passage.Estimate",27835
2004-10-06,"Winter.Chinook.Passage.Estimate",30859
2004-10-07,"Winter.Chinook.Passage.Estimate",35597
2004-10-08,"Winter.Chinook.Passage.Estimate",30007
2004-10-09,"Winter.Chinook.Passage.Estimate",42262
2004-10-10,"Winter.Chinook.Passage.Estimate",50854
2004-10-11,"Winter.Chinook.Passage.Estimate",51638
2004-10-12,"Winter.Chinook.Passage.Estimate",41298
2004-10-13,"Winter.Chinook.Passage.Estimate",40287
2004-10-14,"Winter.Chinook.Passage.Estimate",35130
2004-10-15,"Winter.Chinook.Passage.Estimate",20619
2004-10-16,"Winter.Chinook.Passage.Estimate",20669
2004-10-17,"Winter.Chinook.Passage.Estimate",28253
2004-10-18,"Winter.Chinook.Passage.Estimate",17830
2004-10-19,"Winter.Chinook.Passage.Estimate",51282
2004-10-20,"Winter.Chinook.Passage.Estimate",48925
2004-10-21,"Winter.Chinook.Passage.Estimate",113950
2004-10-22,"Winter.Chinook.Passage.Estimate",22032
2004-10-23,"Winter.Chinook.Passage.Estimate",2716
2004-10-24,"Winter.Chinook.Passage.Estimate",2251
2004-10-25,"Winter.Chinook.Passage.Estimate",5867
2004-10-26,"Winter.Chinook.Passage.Estimate",2486
2004-10-27,"Winter.Chinook.Passage.Estimate",14499
2004-10-28,"Winter.Chinook.Passage.Estimate",9421
2004-10-29,"Winter.Chinook.Passage.Estimate",1399
2004-10-30,"Winter.Chinook.Passage.Estimate",4383
2004-10-31,"Winter.Chinook.Passage.Estimate",7255
2004-11-01,"Winter.Chinook.Passage.Estimate",7068
2004-11-02,"Winter.Chinook.Passage.Estimate",7230
2004-11-03,"Winter.Chinook.Passage.Estimate",2353
2004-11-04,"Winter.Chinook.Passage.Estimate",2010
2004-11-05,"Winter.Chinook.Passage.Estimate",6794
2004-11-06,"Winter.Chinook.Passage.Estimate",5563
2004-11-07,"Winter.Chinook.Passage.Estimate",4650
2004-11-08,"Winter.Chinook.Passage.Estimate",2549
2004-11-09,"Winter.Chinook.Passage.Estimate",982
2004-11-10,"Winter.Chinook.Passage.Estimate",699
2004-11-11,"Winter.Chinook.Passage.Estimate",504
2004-11-12,"Winter.Chinook.Passage.Estimate",1775
2004-11-13,"Winter.Chinook.Passage.Estimate",2848
2004-11-14,"Winter.Chinook.Passage.Estimate",2986
2004-11-15,"Winter.Chinook.Passage.Estimate",2162
2004-11-16,"Winter.Chinook.Passage.Estimate",2037
2004-11-17,"Winter.Chinook.Passage.Estimate",3414
2004-11-18,"Winter.Chinook.Passage.Estimate",4415
2004-11-19,"Winter.Chinook.Passage.Estimate",3409
2004-11-20,"Winter.Chinook.Passage.Estimate",6551
2004-11-21,"Winter.Chinook.Passage.Estimate",6533
2004-11-22,"Winter.Chinook.Passage.Estimate",5864
2004-11-23,"Winter.Chinook.Passage.Estimate",5426
2004-11-24,"Winter.Chinook.Passage.Estimate",6503
2004-11-25,"Winter.Chinook.Passage.Estimate",1825
2004-11-26,"Winter.Chinook.Passage.Estimate",285
2004-11-27,"Winter.Chinook.Passage.Estimate",192
2004-11-28,"Winter.Chinook.Passage.Estimate",871
2004-11-29,"Winter.Chinook.Passage.Estimate",831
2004-11-30,"Winter.Chinook.Passage.Estimate",1114
2004-12-01,"Winter.Chinook.Passage.Estimate",677
2004-12-02,"Winter.Chinook.Passage.Estimate",1157
2004-12-03,"Winter.Chinook.Passage.Estimate",955
2004-12-04,"Winter.Chinook.Passage.Estimate",1550
2004-12-05,"Winter.Chinook.Passage.Estimate",544
2004-12-06,"Winter.Chinook.Passage.Estimate",493
2004-12-07,"Winter.Chinook.Passage.Estimate",216
2004-12-08,"Winter.Chinook.Passage.Estimate",7594
2004-12-10,"Winter.Chinook.Passage.Estimate",8510
2004-12-11,"Winter.Chinook.Passage.Estimate",1438
2004-12-12,"Winter.Chinook.Passage.Estimate",396
2004-12-13,"Winter.Chinook.Passage.Estimate",256
2004-12-14,"Winter.Chinook.Passage.Estimate",0
2004-12-15,"Winter.Chinook.Passage.Estimate",69
2004-12-16,"Winter.Chinook.Passage.Estimate",34
2004-12-17,"Winter.Chinook.Passage.Estimate",35
2004-12-18,"Winter.Chinook.Passage.Estimate",66
2004-12-19,"Winter.Chinook.Passage.Estimate",171
2004-12-20,"Winter.Chinook.Passage.Estimate",191
2004-12-21,"Winter.Chinook.Passage.Estimate",35
2004-12-22,"Winter.Chinook.Passage.Estimate",290
2004-12-23,"Winter.Chinook.Passage.Estimate",131
2004-12-24,"Winter.Chinook.Passage.Estimate",63
2004-12-30,"Winter.Chinook.Passage.Estimate",2498
2004-12-31,"Winter.Chinook.Passage.Estimate",1472
2005-01-03,"Winter.Chinook.Passage.Estimate",173
2005-01-04,"Winter.Chinook.Passage.Estimate",0
2005-01-05,"Winter.Chinook.Passage.Estimate",171
2005-01-06,"Winter.Chinook.Passage.Estimate",42
2005-01-07,"Winter.Chinook.Passage.Estimate",36
2005-01-09,"Winter.Chinook.Passage.Estimate",2150
2005-01-10,"Winter.Chinook.Passage.Estimate",298
2005-01-11,"Winter.Chinook.Passage.Estimate",152
2005-01-12,"Winter.Chinook.Passage.Estimate",241
2005-01-13,"Winter.Chinook.Passage.Estimate",0
2005-01-14,"Winter.Chinook.Passage.Estimate",75
2005-01-15,"Winter.Chinook.Passage.Estimate",132
2005-01-16,"Winter.Chinook.Passage.Estimate",0
2005-01-17,"Winter.Chinook.Passage.Estimate",0
2005-01-18,"Winter.Chinook.Passage.Estimate",0
2005-01-19,"Winter.Chinook.Passage.Estimate",57
2005-01-20,"Winter.Chinook.Passage.Estimate",31
2005-01-21,"Winter.Chinook.Passage.Estimate",0
2005-01-22,"Winter.Chinook.Passage.Estimate",0
2005-01-23,"Winter.Chinook.Passage.Estimate",0
2005-01-24,"Winter.Chinook.Passage.Estimate",54
2005-01-25,"Winter.Chinook.Passage.Estimate",0
2005-01-26,"Winter.Chinook.Passage.Estimate",0
2005-01-30,"Winter.Chinook.Passage.Estimate",0
2005-01-31,"Winter.Chinook.Passage.Estimate",0
2005-02-01,"Winter.Chinook.Passage.Estimate",0
2005-02-02,"Winter.Chinook.Passage.Estimate",269
2005-02-03,"Winter.Chinook.Passage.Estimate",0
2005-02-04,"Winter.Chinook.Passage.Estimate",0
2005-02-05,"Winter.Chinook.Passage.Estimate",0
2005-02-06,"Winter.Chinook.Passage.Estimate",0
2005-02-07,"Winter.Chinook.Passage.Estimate",40
2005-02-08,"Winter.Chinook.Passage.Estimate",33
2005-02-09,"Winter.Chinook.Passage.Estimate",0
2005-02-10,"Winter.Chinook.Passage.Estimate",0
2005-02-11,"Winter.Chinook.Passage.Estimate",0
2005-02-12,"Winter.Chinook.Passage.Estimate",0
2005-02-13,"Winter.Chinook.Passage.Estimate",0
2005-02-14,"Winter.Chinook.Passage.Estimate",28
2005-02-15,"Winter.Chinook.Passage.Estimate",0
2005-02-16,"Winter.Chinook.Passage.Estimate",0
2005-02-17,"Winter.Chinook.Passage.Estimate",0
2005-02-18,"Winter.Chinook.Passage.Estimate",32
2005-02-19,"Winter.Chinook.Passage.Estimate",0
2005-02-20,"Winter.Chinook.Passage.Estimate",468
2005-02-21,"Winter.Chinook.Passage.Estimate",3785
2005-02-22,"Winter.Chinook.Passage.Estimate",1882
2005-02-23,"Winter.Chinook.Passage.Estimate",0
2005-02-24,"Winter.Chinook.Passage.Estimate",0
2005-02-25,"Winter.Chinook.Passage.Estimate",0
2005-02-26,"Winter.Chinook.Passage.Estimate",0
2005-02-27,"Winter.Chinook.Passage.Estimate",31
2005-02-28,"Winter.Chinook.Passage.Estimate",40
2005-03-01,"Winter.Chinook.Passage.Estimate",918
2005-03-02,"Winter.Chinook.Passage.Estimate",0
2005-03-03,"Winter.Chinook.Passage.Estimate",0
2005-03-04,"Winter.Chinook.Passage.Estimate",0
2005-03-05,"Winter.Chinook.Passage.Estimate",0
2005-03-06,"Winter.Chinook.Passage.Estimate",71
2005-03-07,"Winter.Chinook.Passage.Estimate",98
2005-03-08,"Winter.Chinook.Passage.Estimate",173
2005-03-09,"Winter.Chinook.Passage.Estimate",34
2005-03-10,"Winter.Chinook.Passage.Estimate",64
