species,year ,index
ds,1967,408
ds,1968,696
ds,1969,313
ds,1970,1673
ds,1971,1303
ds,1972,1265
ds,1973,1145
ds,1974,
ds,1975,697
ds,1976,359
ds,1977,480
ds,1978,572
ds,1979,
ds,1980,1654
ds,1981,374
ds,1982,333
ds,1983,132
ds,1984,182
ds,1985,110
ds,1986,212
ds,1987,280
ds,1988,174
ds,1989,366
ds,1990,364
ds,1991,689
ds,1992,156
ds,1993,1078
ds,1994,102
ds,1995,899
ds,1996,127
ds,1997,303
ds,1998,420
ds,1999,864
ds,2000,756
ds,2001,603
ds,2002,139
ds,2003,210
ds,2004,74
ds,2005,26
ds,2006,41
ds,2007,28
ds,2008,23
ds,2009,17
ds,2010,29
ds,2011,343
ds,2012,42
ds,2013,18
ds,2014,9
ds,2015,7
ds,2016,8
ds,2017,2
lfs,1967,81737
lfs,1968,3279
lfs,1969,59350
lfs,1970,6515
lfs,1971,15903
lfs,1972,760
lfs,1973,5896
lfs,1974,
lfs,1975,2819
lfs,1976,658
lfs,1977,210
lfs,1978,6619
lfs,1979,
lfs,1980,31184
lfs,1981,2202
lfs,1982,62905
lfs,1983,11864
lfs,1984,7408
lfs,1985,992
lfs,1986,6160
lfs,1987,1520
lfs,1988,791
lfs,1989,456
lfs,1990,243
lfs,1991,134
lfs,1992,76
lfs,1993,798
lfs,1994,545
lfs,1995,8205
lfs,1996,1346
lfs,1997,690
lfs,1998,6654
lfs,1999,5243
lfs,2000,3437
lfs,2001,247
lfs,2002,707
lfs,2003,467
lfs,2004,191
lfs,2005,129
lfs,2006,1949
lfs,2007,13
lfs,2008,139
lfs,2009,65
lfs,2010,191
lfs,2011,477
lfs,2012,61
lfs,2013,164
lfs,2014,16
lfs,2015,4
lfs,2016,7
lfs,2017,141
as,1967,3422
as,1968,758
as,1969,3688
as,1970,856
as,1971,1459
as,1972,335
as,1973,1085
as,1974,
as,1975,2491
as,1976,346
as,1977,636
as,1978,2364
as,1979,
as,1980,3916
as,1981,1434
as,1982,5389
as,1983,2931
as,1984,817
as,1985,1598
as,1986,1860
as,1987,899
as,1988,1550
as,1989,1878
as,1990,4316
as,1991,2987
as,1992,2014
as,1993,5157
as,1994,1334
as,1995,6812
as,1996,4286
as,1997,2594
as,1998,4140
as,1999,715
as,2000,764
as,2001,765
as,2002,1920
as,2003,9360
as,2004,947
as,2005,1744
as,2006,2313
as,2007,553
as,2008,271
as,2009,624
as,2010,683
as,2011,894
as,2012,415
as,2013,309
as,2014,278
as,2015,79
as,2016,313
as,2017,3086
sb0,1967,19677
sb0,1968,3719
sb0,1969,8072
sb0,1970,8276
sb0,1971,9475
sb0,1972,6116
sb0,1973,4286
sb0,1974,
sb0,1975,4548
sb0,1976,1420
sb0,1977,883
sb0,1978,2598
sb0,1979,
sb0,1980,1493
sb0,1981,4531
sb0,1982,4466
sb0,1983,12473
sb0,1984,6581
sb0,1985,1760
sb0,1986,3943
sb0,1987,1350
sb0,1988,477
sb0,1989,442
sb0,1990,1320
sb0,1991,944
sb0,1992,2042
sb0,1993,1556
sb0,1994,1259
sb0,1995,478
sb0,1996,392
sb0,1997,568
sb0,1998,1224
sb0,1999,541
sb0,2000,388
sb0,2001,731
sb0,2002,73
sb0,2003,111
sb0,2004,54
sb0,2005,121
sb0,2006,363
sb0,2007,82
sb0,2008,220
sb0,2009,70
sb0,2010,43
sb0,2011,272
sb0,2012,125
sb0,2013,69
sb0,2014,59
sb0,2015,52
sb0,2016,124
sb0,2017,470
