"","zoopBPUE","Year","region","quarter","chla","Microcystis","secchi","temp","Species","Index"
"1",37742.2194824697,1974,NA,NA,NA,NA,NA,NA,NA,NA
"2",15811.7434359444,1975,"ss","Q4",7.89909090909091,NA,30.5714285714286,17.6333333333333,"Delta Smelt",697
"3",10084.6655721528,1976,"ss","Q4",4.1568,NA,65.6,18.375,"Delta Smelt",359
"4",28191.0953033426,1977,"ss","Q4",3.42,NA,76.16,19,"Delta Smelt",480
"5",13876.7340078839,1978,"ss","Q4",22.2516666666667,NA,31.9,18.9,"Delta Smelt",572
"6",15189.8406097516,1979,"ss","Q4",15.877037037037,NA,40.7407407407407,18.7037037037037,NA,NA
"7",18943.4769544341,1980,"ss","Q4",17.9845833333333,NA,31.4666666666667,17,"Delta Smelt",1654
"8",13811.3886281639,1981,"ss","Q4",10.641,NA,45.1785714285714,18.1666666666667,"Delta Smelt",374
"9",17737.0746499326,1982,"ss","Q4",15.4706896551724,NA,31.1851851851852,17.551724137931,"Delta Smelt",333
"10",14389.7302783168,1983,"ss","Q4",3.60823529411765,NA,40.5882352941176,18.3888888888889,"Delta Smelt",132
"11",9939.8948225958,1984,"ss","Q4",15.33,NA,38.5,20,"Delta Smelt",182
"12",11442.7948117531,1985,"ss","Q4",4.3535,NA,71.05,16.6,"Delta Smelt",110
"13",10856.8039617703,1986,"ss","Q4",7.333,NA,39.4,17.1,"Delta Smelt",212
"14",1418.73455681597,1987,"ss","Q4",1.39772727272727,NA,56.8571428571429,18.6071428571429,"Delta Smelt",280
"15",1701.99092511339,1988,"ss","Q4",1.09608695652174,NA,40.32,18.64,"Delta Smelt",174
"16",8413.19600640734,1989,"ss","Q4",1.4092,NA,51.92,18.48,"Delta Smelt",366
"17",5890.18836417777,1990,"ss","Q4",1.7955,NA,61,18.6,"Delta Smelt",364
"18",2497.83549770278,1991,"ss","Q4",1.488,NA,54.48,19.36,"Delta Smelt",689
"19",3167.93698476358,1992,"ss","Q4",1.2724,NA,65.44,19.8,"Delta Smelt",156
"20",3788.25564665535,1993,"ss","Q4",0.729333333333333,NA,58.8,18.9333333333333,"Delta Smelt",1078
"21",3917.21252021052,1994,"ss","Q4",0.974,NA,56.6,17.15,"Delta Smelt",102
"22",5446.12247083639,1995,"ss","Q4",1.464,NA,42.5333333333333,18.3333333333333,"Delta Smelt",899
"23",3810.93374002085,1996,"ss","Q4",1.20277777777778,NA,43.4444444444444,17.1666666666667,"Delta Smelt",127
"24",6772.25998485188,1997,"ss","Q4",0.922777777777778,NA,58,19.35,"Delta Smelt",303
"25",10436.8430701307,1998,"ss","Q4",3.36333333333333,NA,26.6666666666667,17.5985714285714,"Delta Smelt",420
"26",10498.559046757,1999,"ss","Q4",3.86222222222222,NA,41.6666666666667,17.5818181818182,"Delta Smelt",864
"27",7969.79657257967,2000,"ss","Q4",2.60111111111111,NA,44.7142857142857,17.8180952380952,"Delta Smelt",756
"28",5606.01630163913,2001,"ss","Q4",1.64444444444444,NA,53.25,18.2220833333333,"Delta Smelt",603
"29",9115.80902434305,2002,"ss","Q4",1.92777777777778,NA,46.4,17.8204166666667,"Delta Smelt",139
"30",6461.14652182744,2003,"ss","Q4",1.96055555555556,NA,59.2727272727273,18.6040909090909,"Delta Smelt",210
"31",6566.6591746614,2004,"ss","Q4",1.24777777777778,NA,59.5833333333333,17.2241666666667,"Delta Smelt",74
"32",5604.08398846835,2005,"ss","Q4",1.61444444444444,NA,57.6666666666667,16.9270833333333,"Delta Smelt",26
"33",5175.34836067772,2006,"ss","Q4",1.60666666666667,NA,44.5416666666667,17.4875,"Delta Smelt",41
"34",5523.29997799601,2007,"ss","Q4",1.15,NA,71.5833333333333,17.3625,"Delta Smelt",28
"35",6461.71762355014,2008,"ss","Q4",2.06818181818182,NA,78.8333333333333,19.0791666666667,"Delta Smelt",23
"36",6259.08368631685,2009,"ss","Q4",1.21166666666667,NA,64.1818181818182,17.8541666666667,"Delta Smelt",17
"37",6792.35808577582,2010,"ss","Q4",2.26055555555556,NA,70.5833333333333,18.2083333333333,"Delta Smelt",29
"38",8260.31907525415,2011,"ss","Q4",1.935,NA,56.9166666666667,17.8908333333333,"Delta Smelt",343
"39",8959.33981624107,2012,"ss","Q4",1.90222222222222,NA,68.5,18.3645833333333,"Delta Smelt",42
"40",8052.23957337236,2013,"ss","Q4",1.565,NA,61.1666666666667,17.5666666666667,"Delta Smelt",18
"41",6669.71623176588,2014,"ss","Q4",1.66555555555556,NA,67.3333333333333,19.8,"Delta Smelt",9
"42",8422.99927546101,2015,"ss","Q4",1.85,1.04166666666667,75.0833333333333,19.5308333333333,"Delta Smelt",7
"43",12354.8176937511,2016,"ss","Q4",1.74611111111111,1.04166666666667,66.1666666666667,17.9525,"Delta Smelt",8
"44",16756.7749807513,2017,"ss","Q4",1.85375,1.25,52.3333333333333,17.9083333333333,"Delta Smelt",2
"45",12299.7983026265,2018,"ss","Q4",2.12590909090909,1.18181818181818,76.7727272727273,17.1340909090909,"Delta Smelt",0
