Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2018-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5626,10.3,NA
RedBluff,2018-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5648,10.4,NA
RedBluff,2018-01-03,Daily,2017,335,60-92,2017,24,47,2017,826,28-39,2017,0,NA,2018,24,79,5362,10.5,2.4
RedBluff,2018-01-04,Daily,2017,90,76,2017,94,44,2017,188,36,2017,0,NA,2018,0,NA,5141,11.0,2.3
RedBluff,2018-01-05,Daily,2017,0,NA,2017,0,NA,2017,989,31-39,2017,0,NA,2018,0,NA,4826,11.6,3.5
RedBluff,2018-01-06,Daily,2017,0,NA,2017,119,43,2017,120,35,2017,0,NA,2018,0,NA,4781,11.8,3.9
RedBluff,2018-01-07,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4645,11.0,NA
RedBluff,2018-01-08,Daily,2017,0,NA,2017,0,NA,2017,955,31-36,2017,0,NA,2018,0,NA,4531,10.7,2.9
RedBluff,2018-01-09,Daily,2017,0,NA,2017,0,NA,2017,1139,29-38,2017,0,NA,2018,0,NA,7567,10.9,3.5
RedBluff,2018-01-10,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8775,10.9,NA
RedBluff,2018-01-11,Daily,2017,4453,60-100,2017,201,46-56,2017,19530,26-42,2017,126,120,2018,0,NA,6082,10.7,3.1
RedBluff,2018-01-12,Daily,2017,251,60-87,2017,238,56-58,2017,2441,29-39,2017,0,NA,2018,0,NA,5429,10.9,4.2
RedBluff,2018-01-13,Daily,2017,331,61-84,2017,0,NA,2017,2713,30-44,2017,0,NA,2018,33,175,5096,10.8,2.9
RedBluff,2018-01-14,Daily,2017,157,72-90,2017,0,NA,2017,2540,30-40,2017,0,NA,2018,25,120,4894,10.5,2.9
RedBluff,2018-01-15,Daily,2017,60,64-100,2017,0,NA,2017,2078,29-41,2017,0,NA,2018,0,NA,4781,10.5,2.7
RedBluff,2018-01-16,Daily,2017,160,64-96,2017,0,NA,2017,839,30-39,2017,0,NA,2018,30,151,4736,10.8,2.7
RedBluff,2018-01-17,Daily,2017,118,79-105,2017,29,51,2017,358,31-39,2017,0,NA,2018,0,NA,4759,11.3,2.9
RedBluff,2018-01-18,Daily,2017,89,70-93,2017,0,NA,2017,888,31-42,2017,0,NA,2018,0,NA,4804,11.3,2.6
RedBluff,2018-01-19,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10711,10.4,NA
RedBluff,2018-01-20,Daily,2017,8410,64-113,2017,1421,47-61,2017,46956,27-46,2017,322,141-142,2018,0,NA,9908,9.4,26.6
RedBluff,2018-01-21,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6031,8.9,NA
RedBluff,2018-01-22,Daily,2017,569,66-84,2017,253,48-58,2017,4618,28-44,2017,0,NA,2018,134,100,7934,9.0,5.0
RedBluff,2018-01-23,Daily,2017,2288,67-104,2017,572,49-63,2017,15711,30-42,2017,0,NA,2018,0,NA,9462,9.2,7.3
RedBluff,2018-01-24,Daily,2017,383,80-106,2017,211,60-64,2017,11409,29-42,2017,0,NA,2018,0,NA,6591,9.6,6.7
RedBluff,2018-01-25,Daily,2017,527,65-105,2017,258,61-62,2017,3417,30-39,2017,0,NA,2018,0,NA,10824,9.0,5.2
RedBluff,2018-01-26,Daily,2017,1395,65-109,2017,238,51,2017,38260,29-39,2017,0,NA,2018,0,NA,10692,8.8,11.6
RedBluff,2018-01-27,Daily,2017,109,88,2017,94,51,2017,8549,30-46,2017,0,NA,2018,0,NA,8972,9.3,13.8
RedBluff,2018-01-28,Daily,2017,89,70,2017,90,59,2017,2874,31-39,2017,0,NA,2018,0,NA,6332,9.3,6.2
RedBluff,2018-01-29,Daily,2017,120,69-96,2017,94,51-65,2017,1727,30-46,2017,24,144,2018,24,86,5834,10.0,3.2
RedBluff,2018-01-30,Daily,2017,27,76,2017,30,54,2017,1287,29-39,2017,0,NA,2018,0,NA,5620,10.1,2.9
RedBluff,2018-01-31,Daily,2017,158,70-104,2017,53,60-64,2017,1194,30-38,2017,0,NA,2018,0,NA,5527,10.1,3.1
RedBluff,2018-02-01,Daily,2017,120,81-106,2017,68,61-66,2017,1309,31-40,2017,0,NA,2018,0,NA,5481,10.4,2.2
RedBluff,2018-02-02,Daily,2017,75,77-100,2017,24,51,2017,1338,30-48,2017,0,NA,2018,0,NA,5404,11.2,2.3
RedBluff,2018-02-03,Daily,2017,51,79-90,2017,51,51-60,2017,2398,29-42,2017,0,NA,2018,0,NA,5388,11.7,2.6
RedBluff,2018-02-04,Daily,2017,74,75-81,2017,50,55-63,2017,1971,29-41,2017,0,NA,2018,0,NA,5326,11.9,2.5
RedBluff,2018-02-05,Daily,2017,126,84-104,2017,50,60-67,2017,1629,28-40,2017,25,141,2018,0,NA,5295,12.0,2.3
RedBluff,2018-02-06,Daily,2017,121,76-118,2017,50,57-67,2017,1337,29-45,2017,0,NA,2018,0,NA,5248,11.6,2.3
RedBluff,2018-02-07,Daily,2017,120,76-118,2017,25,69,2017,1649,30-49,2017,0,NA,2018,0,NA,5233,11.2,2.2
RedBluff,2018-02-08,Daily,2017,50,110-123,2017,25,59,2017,1381,29-52,2017,0,NA,2018,0,NA,5186,11.3,2.4
RedBluff,2018-02-09,Daily,2017,90,78-107,2017,59,69-71,2017,930,31-41,2017,0,NA,2018,0,NA,5154,11.3,2.0
RedBluff,2018-02-10,Daily,2017,0,NA,2017,0,NA,2017,689,31-38,2017,0,NA,2018,0,NA,5139,10.7,2.4
RedBluff,2018-02-11,Daily,2017,31,81,2017,61,54,2017,674,30-51,2017,0,NA,2018,0,NA,5123,9.9,1.6
RedBluff,2018-02-12,Daily,2017,69,99-119,2017,69,63-66,2017,584,31-45,2017,0,NA,2018,0,NA,5092,9.6,2.2
RedBluff,2018-02-13,Daily,2017,185,74-141,2017,93,59-63,2017,646,28-39,2017,0,NA,2018,0,NA,5060,9.6,1.9
RedBluff,2018-02-14,Daily,2017,59,82-99,2017,323,56-71,2017,647,31-47,2017,0,NA,2018,0,NA,4939,9.8,1.9
RedBluff,2018-02-15,Daily,2017,31,94,2017,189,60-74,2017,283,34-47,2017,0,NA,2018,0,NA,4826,9.8,2.2
RedBluff,2018-02-16,Daily,2017,32,86,2017,31,57,2017,317,31-55,2017,0,NA,2018,0,NA,4713,10.0,2.7
RedBluff,2018-02-17,Daily,2017,28,84,2017,195,61-73,2017,557,33-52,2017,0,NA,2018,0,NA,4599,10.6,1.9
RedBluff,2018-02-18,Daily,2017,59,78-93,2017,293,57-75,2017,792,32-56,2017,0,NA,2018,0,NA,4554,10.7,2.2
RedBluff,2018-02-19,Daily,2017,55,77-79,2017,277,58-75,2017,388,32-56,2017,0,NA,2018,0,NA,4462,9.8,1.7
RedBluff,2018-02-20,Daily,2017,30,131,2017,386,60-71,2017,446,32-40,2017,0,NA,2018,0,NA,4347,8.9,1.7
RedBluff,2018-02-21,Daily,2017,81,81-112,2017,436,58-76,2017,654,32-55,2017,0,NA,2018,0,NA,4277,8.8,1.9
RedBluff,2018-02-22,Daily,2017,122,78-156,2017,517,58-77,2017,667,31-57,2017,0,NA,2018,31,23,4254,8.8,1.7
RedBluff,2018-02-23,Daily,2017,88,81-112,2017,559,59-73,2017,589,30-58,2017,0,NA,2018,0,NA,4254,8.4,2.3
RedBluff,2018-02-24,Daily,2017,84,95-143,2017,363,62-78,2017,559,29-58,2017,0,NA,2018,0,NA,4231,8.3,1.6
RedBluff,2018-02-25,Daily,2017,137,82-95,2017,575,60-79,2017,547,31-57,2017,0,NA,2018,0,NA,4254,8.7,1.9
RedBluff,2018-02-26,Daily,2017,81,84-99,2017,269,64-75,2017,162,36-59,2017,0,NA,2018,0,NA,4254,9.5,2.6
RedBluff,2018-02-27,Daily,2017,80,84-107,2017,322,60-79,2017,243,33-56,2017,0,NA,2018,0,NA,4277,9.1,2.1
RedBluff,2018-02-28,Daily,2017,31,81,2017,152,62-70,2017,305,37-57,2017,0,NA,2018,31,25,4254,8.7,1.8
RedBluff,2018-03-01,Daily,2017,0,NA,2017,28,71,2017,250,33-60,2017,0,NA,2018,0,NA,4347,9.1,3.2
RedBluff,2018-03-02,Daily,2017,161,93-164,2017,64,62-63,2017,226,37-58,2017,0,NA,2018,0,NA,4826,9.2,3.2
RedBluff,2018-03-03,Daily,2017,516,84-105,2017,736,62-78,2017,130,38-52,2017,0,NA,2018,0,NA,4690,9.2,2.8
RedBluff,2018-03-04,Daily,2017,0,NA,2017,1270,62-73,2017,742,34-61,2017,0,NA,2018,0,NA,4645,9.4,2.9
RedBluff,2018-03-05,Daily,2017,117,99-111,2017,730,63-82,2017,1490,30-62,2017,0,NA,2018,0,NA,4736,9.7,3.4
RedBluff,2018-03-06,Daily,2017,199,85-148,2017,1105,64-79,2017,2163,30-62,2017,0,NA,2018,0,NA,4508,10.0,4.3
RedBluff,2018-03-07,Daily,2017,111,89-120,2017,508,65-85,2017,1174,31-60,2017,0,NA,2018,0,NA,4393,10.7,2.6
RedBluff,2018-03-08,Daily,2017,0,NA,2017,27,67,2017,730,34-62,2017,0,NA,2018,27,27,4323,11.2,2.2
RedBluff,2018-03-09,Daily,2017,58,92-110,2017,66,69-77,2017,783,34-57,2017,0,NA,2018,0,NA,4462,11.4,2.1
RedBluff,2018-03-10,Daily,2017,77,90-123,2017,78,73-82,2017,834,31-54,2017,0,NA,2018,0,NA,4439,11.6,2.7
RedBluff,2018-03-11,Daily,2017,52,90-111,2017,50,66-80,2017,429,32-37,2017,0,NA,2018,0,NA,4439,11.9,1.9
RedBluff,2018-03-12,Daily,2017,55,115-120,2017,55,70-84,2017,166,34-43,2017,0,NA,2018,0,NA,4439,12.4,2.7
RedBluff,2018-03-13,Daily,2017,0,NA,2017,56,79-85,2017,196,34-37,2017,0,NA,2018,0,NA,4439,12.6,3.3
RedBluff,2018-03-14,Daily,2017,0,NA,2017,148,83,2017,586,33-38,2017,0,NA,2018,0,NA,7383,11.3,3.6
RedBluff,2018-03-15,Daily,2017,6067,95-167,2017,3634,69-84,2017,6967,35-66,2017,0,NA,2018,0,NA,11928,9.8,15.5
RedBluff,2018-03-16,Daily,2017,8847,90-156,2017,8041,68-86,2017,21397,33-66,2017,0,NA,2018,0,NA,14842,9.2,30.3
RedBluff,2018-03-17,Daily,2017,2031,93-151,2017,0,NA,2017,13009,31-62,2017,0,NA,2018,0,NA,13299,9.7,39.6
RedBluff,2018-03-18,Daily,2017,354,96-100,2017,1922,69-86,2017,2050,36-67,2017,0,NA,2018,0,NA,7608,10.2,13.0
RedBluff,2018-03-19,Daily,2017,0,NA,2017,413,68-84,2017,1248,33-65,2017,0,NA,2018,0,NA,5910,10.8,7.1
RedBluff,2018-03-20,Daily,2017,0,NA,2017,69,72-76,2017,688,31-68,2017,0,NA,2018,35,28,5373,11.1,5.0
RedBluff,2018-03-21,Daily,2017,36,95,2017,166,70-92,2017,140,36-69,2017,0,NA,2018,0,NA,5375,10.9,3.8
