station,core,current,lat_deg,lat_min,lat_sec,long_deg,long_min,long_sec,year_start,year_end
NZ092,1,yes,37,58,42,121,22,55,1972,
NZM10,2,yes,38,2,37,121,25,35,1974,
NZP04,0,no,38,10,12,121,26,50,1973,1973
NZ090,0,no,38,0,7,121,26,57,1972,1993
NZM09,0,no,38,5,1,121,28,12,1974,1975
NZM04,0,no,37,58,47,121,28,27,1974,1974
NZP02,0,no,38,14,0,121,29,20,1973,1984
NZP10,0,no,37,53,30,121,29,20,1973,1973
NZM07,0,no,38,7,34,121,29,43,1974,1993
NZC13,0,no,38,7,0,121,29,50,1973,1973
NZM06,0,no,38,8,28,121,30,0,1974,1984
NZ088,0,no,38,3,15,121,30,51,1972,1993
NZM08,0,no,38,2,39,121,31,45,1974,1974
NZ098,0,no,37,58,15,121,32,4,1972,1993
NZC03,0,no,38,20,52,121,32,25,1973,1993
NZM01,0,no,38,14,29,121,33,5,1974,1974
NZC09,0,no,37,50,4,121,33,14,1973,1993
NZM03,0,no,38,8,44,121,33,24,1974,1993
NZ086,1,yes,38,4,40,121,34,13,1972,
NZD28,1,yes,37,58,58,121,34,38,1972,
NZ169,0,no,38,28,12,121,35,2,1977,1977
NZ103,0,no,38,10,21,121,35,33,1977,1977
NZM02,0,no,38,9,3,121,35,47,1974,1974
NZ084,0,no,38,6,13,121,36,20,1972,1993
NZ165,0,no,38,24,18,121,36,42,1977,1978
NZD19,0,yes,38,2,38,121,36,49,1972,
NZ100,0,no,38,11,49,121,36,57,1977,1981
NZ161,0,no,38,20,31,121,38,37,1977,1980
NZ069,0,no,38,10,20,121,38,38,1977,1977
NZ082,0,no,38,5,23,121,39,3,1972,1993
NZ155,0,no,38,16,18,121,39,38,1977,1988
NZ104,0,no,38,3,23,121,39,48,1972,1984
NZ071,0,no,38,12,41,121,39,53,1977,1991
NZ070,0,no,38,10,39,121,40,0,1977,1990
NZD16,1,yes,38,5,50,121,40,0,1994,
NZ101,0,no,38,14,16,121,40,17,1977,1990
NZ080,1,no,38,4,24,121,40,36,1972,1995
NZ068,0,no,38,8,53,121,41,1,1972,1993
NZD15,0,no,38,3,9,121,41,18,1972,1993
NZ099,0,no,38,15,30,121,41,30,1977,1991
NZ078,0,no,38,2,51,121,42,24,1972,1993
NZD14,0,no,38,1,5,121,42,38,1972,1984
NZ066,0,no,38,6,31,121,42,52,1972,1993
NZ064,1,yes,38,5,5,121,44,17,1972,
NZ076,0,no,38,1,19,121,45,49,1972,1993
NZD11,0,no,38,2,34,121,47,34,1972,1984
NZ062,0,no,38,3,42,121,47,46,1972,1993
NZ074,1,yes,38,1,20,121,48,13,1972,
NZ060,1,yes,38,3,52,121,49,44,1972,
NZ072,0,no,38,1,54,121,50,7,1972,1993
NZ058,0,no,38,3,35,121,52,6,1972,1993
NZ034,0,no,38,4,40,121,53,0,1972,1984
NZ056,0,no,38,2,56,121,53,5,1972,1993
NZ054,1,yes,38,2,45,121,54,23,1972,
NZ033,0,no,38,8,7,121,54,44,1972,1977
NZ052,0,no,38,2,47,121,55,2,1972,1993
NZ040,0,no,38,4,26,121,56,12,1972,1993
NZ050,0,no,38,3,29,121,57,55,1972,1993
NZ038,0,no,38,4,28,121,59,20,1972,1984
NZ048,1,yes,38,3,36,121,59,45,1972,
NZ036,0,no,38,5,30,122,0,51,1972,1984
NZ032,1,yes,38,10,13,122,1,15,1972,
NZ046,0,no,38,3,54,122,2,3,1972,1993
NZ028,1,yes,38,7,2,122,2,50,1972,
NZS42,2,yes,38,10,50,122,2,50,1974,
NZ030,0,no,38,6,55,122,3,7,1972,1984
NZ044,0,no,38,3,54,122,3,40,1972,1993
NZ024,0,no,38,5,35,122,4,9,1972,1993
NZ042,1,no,38,2,57,122,5,32,1972,1993
NZ022,0,no,38,4,19,122,5,46,1972,1993
NZ020,0,no,38,3,35,122,6,35,1972,1993
NZD06,1,yes,38,2,40,122,7,0,1994,
NZ005,0,no,38,1,54,122,8,7,1978,1997
NZ004,0,yes,38,1,45,122,9,30,1978,
NZ003,0,no,38,3,9,122,10,42,1978,1997
NZ002,0,yes,38,3,37,122,12,25,1978,
NZ338,0,no,38,3,58,122,14,35,1978,1997
NZ340,0,no,38,6,31,122,16,43,1978,1979
NZ325,0,yes,38,3,28,122,17,20,1978,
NZ310,0,no,38,1,36,122,19,25,1980,1981
NZ305,0,no,38,2,25,122,21,0,1981,1998
NZD41,0,yes,38,1,50,122,22,15,1998,
NZ300,0,no,38,0,40,122,24,0,1980,1993
NZ41A,0,yes,38,4,15,122,24,40,2003,
NZ295,0,no,37,58,16,122,25,57,1982,1986
NZEZ2,1,yes,,,,,,,1994,
NZEZ6,1,yes,,,,,,,1994,
NZEZ2SJR,0,yes**,,,,,,,2014,
NZEZ6SJR,0,yes**,,,,,,,2014,
NZM12,0,no,,,,,,,,
